5.9,40,10.523,1761.768,86,107000,25.629,3188.474,629516,High
4.5,58,23.643,820.312,86.1,30225,21.044,8002.078,890194,Medium
4.8,58,40.786,1901.096,84,33924,30.033,9373.749,234951,High
3.8,20,78.671,1401.421,75.4,30438,15.278,5244.755,344900,Medium
2.7,35,32,2358.754,81,31821,9.846,332.923,450000,Medium
4.2,75,38.706,1748.435,75,27331,31.726,8008.249,250000,Medium
3.2,68,10.331,2161.478,80.7,26934,19.972,137.741,257775,High
2.7,4,13.025,469.755,87,38503,25.327,5065.123,797000,High
3.4,2,69.876,1494.856,74.2,31975,21.74,5940.994,331000,High
2.1,4,28.47,1531.17,82.3,42938,25.42,199.29,1130000,Medium
2.6,36,51.858,2773.126,86.7,41242,20.743,2018.301,600000,High
2.1,47,23.046,1517.251,92,30958,21.998,684.046,291859,Medium
3.4,38,96.204,1899.607,87.7,32409,17.103,578.294,305752,High
3.1,44,16.547,2382.979,88.3,31462,25.372,867.044,230027,High
3.2,48,5.684,1233.072,80,35445,22.735,326.244,368845,High
2.5,56,34.021,2355.199,86.61,30727,26.076,209.741,232000,Medium
2,4,28.534,2201.197,88.3,54549,35.574,5415.842,1418093,High
2.6,54,19.076,2019.528,86.4,51142,36.789,3133.861,765000,High
2.9,0,15.461,2301.276,74,40997,37.95,296.572,556165,Medium
2.4,32,21.658,2025,83,66802,28.877,7219.31,417221,High
4.2,52,18.238,2374.12,85.62,52328,36.487,3133.652,615692,High
2.7,50,29.081,1852.941,84.8,31450,27.627,273.365,188079,High
2.9,85,38.18,2390.256,96.1,37582,36.654,4581.72,665947,High
3.8,0,28.058,1677.819,87,24071,19.162,293.331,215000,High
4.2,35,21.835,1734.091,85.7,37342,10.918,835.982,460000,Medium
5.5,0,30.922,1187.227,89,31046,38.652,6705.422,425000,Medium
4.6,65,35.025,1936.652,75,26006,28.657,327.959,172000,High
7,16,11.69,2004.961,64.5,20961,33.203,7567.229,79500,Medium
4.4,16,29.488,2200.967,68.7,31089,32.958,360.799,170000,Medium
2.8,8,12.295,2249.693,74,30284,24.59,474.242,164000,Medium
3,0,31.994,2037.899,63.8,25991,31.994,3021.69,335000,High
6.2,4,32.875,1426.778,73.1,25738,25.711,110.191,360000,Medium
3.1,12,18.408,1893.617,69,25272,49.702,1285.559,310000,High
3.5,0,13.332,1793.127,85,33565,53.329,270.455,468000,High
2.7,12,13.74,1271.318,79,31649,5.888,602.581,425000,High
2.6,54,3.934,2479.983,87.5,32474,19.67,10605.222,225000,Medium
3,13,14.091,1739.583,84,36465,68.485,24171.083,386500,High
2.6,41,20.521,2138.151,73.5,33391,25.625,178.535,250000,Medium
3,0,10.332,2344.568,82.3,33893,35.127,175.636,419000,High
2.8,8,10.658,1201.487,88,37393,23.448,292.034,390000,High
3.2,9,22.289,2064.93,84,35242,33.433,5408.698,375000,High
10,29,7.296,1256.66,79,30432,10.944,1823.932,374000,Medium
4.4,0,18.598,1718.69,88,33111,26.037,264.087,470000,High
6.6,76,28.548,1132.12,91,33584,15.736,1125.107,360000,High
2.2,8,18.799,1721.71,94,29712,48.877,902.344,199472,Medium
3.9,72,63.313,2465.04,85,41671,55.864,346.358,102335,Medium
2.9,65,22.989,1890.29,96,26413,15.326,1915.760,200424,High
2.2,28,162.664,2290.31,97,30033,23.238,553.832,370000,Medium
3.7,68,15.616,2268.5,93,23100,19.52,769.072,195918,High
2.7,9,3.975,1638.39,90,38651,31.838,545.232,339000,High
8.8,27,4.652,1026.69,81,39739,9.304,2037.634,420000,High
3.1,16,19.974,2546.15,84,27306,19.974,2380.952,222729,Medium
2.8,8,28.042,1926.12,89,29126,4.005,1838.721,385256,High
3.2,83,8.263,2139.2,95,30464,16.527,2549.218,288392,High
2.4,0,12.258,2465.57,90,49294,20.597,1239.943,730000,High
2.9,26,8.584,2198.95,86,71423,34.34,1858.648,747335,High
2.1,4,16.846,2570.43,89,33548,25.269,2792.214,478450,High
9.6,12,4.445,1742.92,88,41320,13.336,4254.222,739374,High
7.3,18,12.761,2790.2,82,27093,51.045,574.251,257206,Medium
2.4,0,13.186,1307.3,88,58954,4.395,4228.311,1247500,High
5.5,20,21.827,4031.12,85,30059,13.096,148.426,370827,Medium
2.9,20,39.717,2728.08,74.3,28458,39.72,308.909,300500,High
3,68,36.006,3599.53,84,24051,63.011,162.027,231500,Medium
8.8,51,4.573,3452.38,92,31591,4.573,2002.77,380000,Medium
3.6,36,27.002,1777.57,90,22212,148.513,261.023,430000,Low
5.3,16,13.686,2285.71,87,35689,45.619,6135.81,430000,Medium
2.7,55,18.982,1119.4,97,61126,9.491,2947.05,700000,High
1.8,48,13.827,3147.06,90,30854,23.045,3655,253824,High
5.3,12,22.855,1100,89,30039,9.142,338.253,411796,Medium
1.5,52,13.606,2327.86,69.6,19384,27.212,4358.47,408937,High
2.8,12,51.879,2206.81,89.9,31572,28.298,29712.6,183530,High
2.4,29,9.194,2465.35,97,30088,18.389,776.929,371245,High
3.1,13,14.318,3295.67,91,34958,14.318,4596.000,595441,Low
2.9,13,19.735,1265.31,92.1,47398,9.867,2165.869,495195,High
3.3,0,19.425,2668.22,87.7,27828,33.994,3195.447,359283,Low
3.9,1,14.178,1360.89,76.7,28172,9.452,3076.559,502192,Low
3.3,45,4.745,1240.8,98,30477,14.234,3999.791,589428,Medium
3.3,29,15.191,2275.9,89.4,26564,33.446,627.896,145324,High
2.9,17,85.468,1954.26,68.2,23797,52.23,180.431,150100,Low
4.8,32,14.369,1806.12,84,26985,4.79,1230.973,186204,Medium